summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or_opposite,house_number,street_name,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle?,vehicle_year,meter_number,feet_from_curb,violation_hour,is_weekend,day_category
1363746352,V364120B,IL,PAS,2015-07-09,21,SDN,CHEVR,P,52830,59640,72760,20161288.0,94.0,94,0,361885,BNTW,0,1241P,K,F,239,JAVA ST,0,408,D1,YBBYBBB,1100A,0100P,BK,0.0,0,-,0,12,False,Weekday
1363746431,GHJ5839,NY,PAS,2015-07-09,21,SDN,NISSA,P,87630,58330,44930,20170620.0,90.0,90,301,355074,T301,0,0941A,K,O,40,VARET ST,0,408,D1,YBBYBBB,0930A,1100A,GRAY,0.0,2010,-,0,9,False,Weekday
1363746455,GHN8166,NY,PAS,2015-07-09,21,SDN,NISSA,P,62530,58330,44930,20160129.0,90.0,90,301,355074,T301,0,1005A,K,F,71,MOORE ST,0,408,D1,YBBYBBB,0930A,1100A,BLK,0.0,1995,-,0,10,False,Weekday
1363746480,GXG4646,NY,PAS,2015-07-09,21,SDN,TOYOT,P,92630,85330,23230,20161011.0,90.0,90,301,355074,T301,0,1110A,K,F,67,WHIPPLE ST,0,408,C3,YBBYBBB,1100A,1230P,WH,0.0,2011,-,0,11,False,Weekday
1363746510,GMT9467,NY,PAS,2015-07-09,21,SDN,UNKNOWN,P,85330,15580,92630,20160306.0,90.0,90,301,355074,T301,0,1135A,K,F,110,THROOP AVE,0,408,D1,YBBYBBB,1100A,1230P,GRAY,0.0,2007,-,0,11,False,Weekday
1363746534,GNL1100,NY,PAS,2015-07-09,37,SUBN,CHEVR,P,44930,23230,31950,20160406.0,90.0,90,301,355074,T301,0,0111P,K,F,09,GRAHAM AVE,0,408,I4,YYYYYYB,0800A,0700P,BLK,0.0,2015,-,0,1,False,Weekday
1363746650,GWG3232,NY,PAS,2015-07-09,21,SDN,BMW,P,0,40404,40404,20170416.0,90.0,90,301,361876,T301,0,0920A,K,O,112,MANHATTAN,0,408,D1,YBBYBBB,0830A,1000A,BLK,0.0,2015,-,0,9,False,Weekday
1363746662,GBS1325,NY,PAS,2015-07-09,21,SDN,TOYOT,P,0,40404,40404,20160926.0,90.0,90,301,361876,T301,0,0932A,K,O,118,MANHATTAN,0,408,D1,YBBYBBB,0830A,1000A,GREY,0.0,2007,-,0,9,False,Weekday
1363746686,V5261U,TN,PAS,2015-07-09,21,P-U,FORD,P,58330,53530,62430,0.0,90.0,90,301,361876,T301,0,0940A,K,O,120,MANHATTAN AVE,0,408,D1,YBBYBBB,0830A,1000A,GREY,0.0,0,-,0,9,False,Weekday
1363746704,VCK5489,VA,PAS,2015-07-09,40,SDN,BUICK,P,62430,58330,44930,20160188.0,90.0,90,301,361876,T301,0,0951A,K,O,145,MONTROSE AV,0,408,E2,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,2,9,False,Weekday
1363746730,GMA7040,NY,PAS,2015-07-09,21,SUBN,HONDA,P,62430,51530,23930,20170203.0,90.0,90,301,361876,T301,0,1015A,K,O,204,MONTROSE AV,0,408,D1,YBBYBBB,0930A,1100A,BLK,0.0,2013,-,0,10,False,Weekday
1363746741,GYD3682,NY,PAS,2015-07-09,20,SDN,NISSA,P,0,40404,40404,20170423.0,90.0,90,301,361876,T301,0,1020A,K,F,124,SEIGEL,0,408,D1,YYYYYYB,0800A,0400P,BLK,0.0,2004,-,0,10,False,Weekday
1363746790,GPK6074,NY,PAS,2015-07-09,71,SDN,HONDA,P,29230,40030,20230,20160506.0,90.0,90,301,361876,T301,0,1250P,K,O,220,COOK ST,0,408,D,BBBBBBB,ALL,ALL,GREEN,0.0,0,-,0,12,False,Weekday
1363746856,GVX3830,NY,PAS,2015-07-09,37,SDN,TOYOT,P,73220,48830,27530,20170310.0,84.0,84,301,353993,T301,0,1033A,K,F,140,REMSEN ST,0,408,I3,YYYYYBB,0800A,0700P,SILVE,0.0,2013,-,0,10,False,Weekday
1363746868,XBWE56,NJ,PAS,2015-07-09,40,DELV,HINO,P,61830,48830,27530,0.0,84.0,84,301,353993,T301,0,1052A,K,O,166,MONTAGUE ST,0,408,I3,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0,10,False,Weekday
1363746870,GRG9758,NY,PAS,2015-07-09,74,SDN,INFIN,P,73220,48830,27530,20160702.0,84.0,84,301,353993,T301,0,1117A,K,F,127,REMSEN ST,0,408,E2,BBBBBBB,ALL,ALL,RED,0.0,2014,-,0,11,False,Weekday
1363746881,R49DSP,NJ,PAS,2015-07-09,37,SUBN,HONDA,P,73220,48830,27530,0.0,84.0,84,301,353993,T301,0,1123A,K,F,138,REMSEN ST,0,408,J2,YYYYYBB,0800A,0700P,BLACK,0.0,0,-,0,11,False,Weekday
1363747058,GKM1301,NY,PAS,2015-07-09,21,SDN,KIA,P,12630,40404,40404,20151008.0,84.0,84,0,361886,BETN,0,0917A,K,O,238,AMITY ST,0,408,D1,BBBYBBB,0900A,1030A,SILVE,0.0,2014,-,0,9,False,Weekday
1363747125,GTS3040,NY,PAS,2015-07-09,21,SDN,TOYOT,P,0,0,0,20160615.0,84.0,84,0,361886,BETN,0,0959A,K,F,,CLINTON ST,0,408,D1,BBBYBBB,0930A,1100A,RED,0.0,2013,-,0,9,False,Weekday
1363747162,GEZ3752,NY,PAS,2015-07-09,71,SUBN,FORD,P,56530,38950,20530,20170310.0,84.0,84,0,361886,BETN,0,1137A,K,F,258,LIVINGSTON ST,0,408,C,BBBBBBB,ALL,ALL,RED,0.0,2010,-,0,11,False,Weekday
1363747186,XAJY59,NJ,PAS,2015-07-09,18,DELV,FRUEH,P,56530,42900,51030,0.0,84.0,84,0,361886,BTEN,0,1200P,K,F,180,LIVINGSTON ST,0,408,D5,YYYYYYY,ALL,ALL,WH,0.0,0,-,0,12,False,Weekday
1363747230,GAH3031,NY,PAS,2015-07-09,71,SUBN,PORSC,P,69330,5580,5680,20160712.0,77.0,77,0,362231,BNTE,0,0855A,K,O,62,PARK PL,0,408,J6,BBBBBBB,ALL,ALL,BL,0.0,2012,-,0,8,False,Weekday
1363747253,GBD3365,PA,PAS,2015-07-09,21,SDN,ACURA,P,72730,24730,87330,0.0,77.0,77,0,362231,BNTE,0,0939A,K,O,218,PROSPECT PL,0,408,J6,YBBYBBB,0830A,1000A,SILVR,0.0,0,-,0,9,False,Weekday
1363747265,LMD796,MS,PAS,2015-07-09,21,SUBN,TOYOT,P,69330,24730,87330,0.0,77.0,77,0,362231,BNTE,0,0951A,K,F,197,PARK PL,0,408,D1,YBBYBBB,0930A,1100A,OTHER,0.0,0,-,0,9,False,Weekday
1363747290,JLX0998,PA,PAS,2015-07-09,21,SUBN,VOLKS,P,24730,72730,69330,0.0,77.0,77,0,362231,BNTE,0,1140A,K,O,639,CARLTON AVE,0,408,I3,YBBYBBB,1130A,0100P,OTHER,0.0,0,-,0,11,False,Weekday
1363747320,GCK3403,NY,PAS,2015-07-09,21,SUBN,NISSA,P,80430,40930,24730,20160920.0,77.0,77,0,362231,BNTE,0,1156A,K,F,93,ST MARKS AVE,0,408,D1,YBBYBBB,1130A,0100P,SILVR,0.0,2009,-,0,11,False,Weekday
1363747368,GRA4230,NY,PAS,2015-07-09,71,SUBN,HONDA,P,80430,24730,87330,20160603.0,77.0,77,0,362231,BNTE,0,1234P,K,O,137,ST MARKS AVE,0,408,D1,BBBBBBB,ALL,ALL,SILVR,0.0,2004,-,0,12,False,Weekday
1363747370,GRJ9597,NY,PAS,2015-07-09,71,VAN,CHEVR,P,69330,5580,5680,20160731.0,77.0,77,0,362231,BNTE,0,1255P,K,F,32,PARK PL,0,408,J6,BBBBBBB,ALL,ALL,WH,0.0,2006,-,0,12,False,Weekday
1363747447,GCK1727,NY,PAS,2015-07-09,74,SUBN,TOYOT,X,73830,18630,54830,20161023.0,90.0,90,0,359310,TEBN,0,1153A,K,F,141,ROSS ST,0,408,D1,YBBYBBB,1130A,0100P,SL,0.0,2014,-,0,11,False,Weekday
